id,Response
381110,0.36778989857972805
381111,0.27648069446577656
381112,0.0011041490090163589
381113,0.05572970490683697
381114,0.0009403771663653761
381115,0.030896277079982055
381116,0.14806543312049866
381117,0.0019942491978631603
381118,0.31082964037529787
381119,0.002475234920177
381120,0.001574528234493295
381121,0.0005902292248630522
381122,0.0005668394701784518
381123,0.0009549393257330655
381124,0.32080144304738595
381125,0.00043079513078892167
381126,0.0006110326979263561
381127,0.0005517806776924513
381128,0.03548636251462404
381129,0.0025868536721059365
381130,0.3129848769153813
381131,0.08302623578658212
381132,0.0007770143893765151
381133,0.3091714271397078
381134,0.001807402730779563
381135,0.03834700846130837
381136,0.0005357234401721663
381137,0.0005246731630579782
381138,0.0005096145030712818
381139,0.18264348049199883
381140,0.0005552514370595366
381141,0.25500284617494917
381142,0.002456968216817914
381143,0.001987761167941167
381144,0.12059314558879992
381145,0.12546589175454487
381146,0.016298635140446938
381147,0.29822745818633994
381148,0.001189152590342376
381149,0.2735323516383973
381150,0.21183923735862561
381151,0.1868278230042389
381152,0.20994602782887045
381153,0.31899790506317116
381154,0.2765108428703837
381155,0.06731186209866916
381156,0.0011950990602708374
381157,0.2905544849418238
381158,0.014856990978265979
381159,0.12565217127405703
381160,0.032528730493219096
381161,0.002835802036793054
381162,0.3129068237355045
381163,0.045052695335861
381164,0.32414182351884835
381165,0.30318693733828594
381166,0.09734875141478254
381167,0.0006146896267674967
381168,0.12696114880286755
381169,0.0004643609326027953
381170,0.24224672185475088
381171,0.1072326888134876
381172,0.305228471009926
381173,0.32075851380960674
381174,0.3253817956076417
381175,0.0017803406944735252
381176,0.32238371763421025
381177,0.3076554757095329
381178,0.31360675977393804
381179,0.3033271085601261
381180,0.144297039203411
381181,0.0006283515432004874
381182,0.021782984042509196
381183,0.29715285300156546
381184,0.000674867001605092
381185,0.29902450235382977
381186,0.31406084048915905
381187,0.3255980914742498
381188,0.000544494568036823
381189,0.11363978575030781
381190,0.3079205808687764
381191,0.1334050939991658
381192,0.3030050573684316
381193,0.002011776166622262
381194,0.1487836247733437
381195,0.0006376025296544216
381196,0.13011120830034972
381197,0.0026489073575553276
381198,0.02888934116438485
381199,0.0011740036508974022
381200,0.18265818643224885
381201,0.05052856233769295
381202,0.0011437470153238462
